Country_ID,Year,Total losses
FI,2011,155.0
FI,2012,7.0
FI,2013,18.25
FI,2014,29.5
FI,2015,40.75
FI,2016,52.0
FI,2017,63.25
FI,2018,74.5
FI,2019,85.75
FI,2020,97.0
FI,2021,49.0
FI,2022,0.0
FI,2023,0.0
FR,1980,162.0
FR,1981,53.0
FR,1982,515.0
FR,1983,3374.0
FR,1984,0.0
FR,1985,401.0
FR,1986,87.0
FR,1987,2732.0
FR,1988,807.0
FR,1989,2616.0
FR,1990,5489.0
FR,1991,1443.0
FR,1992,1415.0
FR,1993,2850.0
FR,1994,12194.0
FR,1995,1698.0
FR,1996,995.0
FR,1997,606.0
FR,1998,889.0
FR,1999,18518.0
FR,2000,703.0
FR,2001,772.0
FR,2002,2220.0
FR,2003,6735.0
FR,2004,52.0
FR,2005,3521.0
FR,2006,252.0
FR,2007,562.0
FR,2008,566.0
FR,2009,3154.0
FR,2010,5295.0
FR,2011,1796.0
FR,2012,1683.0
FR,2013,1889.0
FR,2014,2895.0
FR,2015,816.0
FR,2016,2081.0
FR,2017,6329.0
FR,2018,3411.0
FR,2019,5924.0
FR,2020,4770.0
FR,2021,6108.0
FR,2022,8757.0
FR,2023,3478.0
HR,1980,0.0
HR,1981,0.0
HR,1982,0.0
HR,1983,0.0
HR,1984,0.0
HR,1985,0.0
HR,1986,0.0
HR,1987,0.0
HR,1988,0.0
HR,1989,0.0
HR,1990,0.0
HR,1991,0.0
HR,1992,0.0
HR,1993,0.0
HR,1994,0.0
HR,1995,0.0
HR,1996,18.0
HR,1997,17.5
HR,1998,17.0
HR,1999,270.5
HR,2000,524.0
HR,2001,0.0
HR,2002,0.0
HR,2003,849.0
HR,2004,1.0
HR,2005,0.0
HR,2006,1.0
HR,2007,0.0
HR,2008,0.0
HR,2009,0.0
HR,2010,575.0
HR,2011,375.0
HR,2012,175.0
HR,2013,5.0
HR,2014,749.0
HR,2015,196.0
HR,2016,182.5
HR,2017,169.0
HR,2018,334.0
HR,2019,0.0
HR,2020,1238.0
HR,2021,0.0
HR,2022,352.0
HR,2023,152.0
HU,1980,0.0
HU,1981,0.0
HU,1982,0.0
HU,1983,0.0
HU,1984,0.0
HU,1985,4.0
HU,1986,3036.0
HU,1987,2802.5
HU,1988,2569.0
HU,1989,2335.5
HU,1990,2102.0
HU,1991,1868.5
HU,1992,1635.0
HU,1993,1090.3333333333337
HU,1994,545.6666666666667
HU,1995,1.0
HU,1996,12.0
HU,1997,23.0
HU,1998,55.0
HU,1999,1172.0
HU,2000,136.0
HU,2001,11.0
HU,2002,53.0
HU,2003,765.0
HU,2004,0.0
HU,2005,124.0
HU,2006,63.0
HU,2007,0.0
HU,2008,0.0
HU,2009,324.5
HU,2010,649.0
HU,2011,47.0
HU,2012,34.0
HU,2013,43.0
HU,2014,28.0
HU,2015,33.0
HU,2016,11.0
HU,2017,28.0
HU,2018,8.0
HU,2019,14.0
HU,2020,13.0
HU,2021,34.0
HU,2022,2430.0
HU,2023,30.0
IE,1980,22.0
IE,1981,14.666666666666668
IE,1982,7.333333333333334
IE,1983,0.0
IE,1984,7.666666666666667
IE,1985,15.333333333333334
IE,1986,23.0
IE,1987,97.0
IE,1988,171.0
IE,1989,184.0
IE,1990,197.0
IE,1991,6.0
IE,1992,37.0
IE,1993,68.0
IE,1994,300.0
IE,1995,151.0
IE,1996,2.0
IE,1997,30.0
IE,1998,0.0
IE,1999,167.0
IE,2000,180.0
IE,2001,140.0
IE,2002,100.0
IE,2003,82.5
IE,2004,65.0
IE,2005,32.5
