PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,France,2014,Pentachlorobenzene,31.7
2025/03/10,United Kingdom,2007,Vinyl chloride,314
2025/03/10,Netherlands,2009,Toluene,244
2025/03/10,Ireland,2015,Di-(2-ethyl hexyl) phthalate (DEHP),310.26
2025/03/10,Italy,2022,Toxaphene,11.5
2025/03/10,Ireland,2015,"Benzo(g,h,i)perylene",8.18
2025/03/10,Ireland,2022,Zinc and compounds (as Zn),15067.899
2025/03/10,United Kingdom,2010,Tributyltin and compounds,1.25
2025/03/10,France,2011,Simazine,2.67
2025/03/10,Hungary,2018,Cyanides (as total CN),489
2025/03/10,Serbia,2017,Tetrachloroethylene,33
2025/03/10,France,2022,Pentachlorobenzene,15
2025/03/10,Hungary,2018,Copper and compounds (as Cu),1435
2025/03/10,Lithuania,2008,Total phosphorus,70690
2025/03/10,Ireland,2018,Diuron,5.462
2025/03/10,Slovenia,2018,Nonylphenol and Nonylphenol ethoxylates,58.6
2025/03/10,Bulgaria,2014,Total nitrogen,2912700
2025/03/10,Finland,2007,Octylphenols and Octylphenol ethoxylates,5.949999999999999
2025/03/10,Slovakia,2014,Halogenated organic compounds (as AOX),28500
2025/03/10,Ireland,2020,Total organic carbon(as total C or COD/3) (TOC),8899334.655000001
2025/03/10,Slovenia,2021,Total nitrogen,491943
2025/03/10,Serbia,2011,Fluorides (as total F),63860
2025/03/10,Slovenia,2010,Chlorides (as total Cl),3550000
2025/03/10,Iceland,2015,Cyanides (as total CN),3600
2025/03/10,Cyprus,2021,Nickel and compounds (as Ni),167.9
2025/03/10,Cyprus,2023,Mercury and compounds (as Hg),0.47
2025/03/10,Poland,2015,Trichlorobenzenes (TCB),93.5
2025/03/10,Slovakia,2008,Total phosphorus,249820
2025/03/10,Greece,2016,Total organic carbon(as total C or COD/3) (TOC),4680000
2025/03/10,Slovenia,2011,Copper and compounds (as Cu),266.4
2025/03/10,Slovenia,2008,Octylphenols and Octylphenol ethoxylates,1.82
2025/03/10,Slovakia,2022,Arsenic and compounds (as As),61.7
