PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,Spain,2015,Polycyclic aromatic hydrocarbons (PAHs),6179.1
2025/03/10,Spain,2015,Particulate matter (PM10),7466500
2025/03/10,United Kingdom,2010,Di-(2-ethyl hexyl) phthalate (DEHP),289
2025/03/10,Belgium,2008,Zinc and compounds (as Zn),81265
2025/03/10,Poland,2018,Fluorine and inorganic compounds (as HF),782780
2025/03/10,United Kingdom,2010,Tetrachloroethylene,103550
2025/03/10,Bulgaria,2022,Nickel and compounds (as Ni),11480
2025/03/10,Germany,2007,Mercury and compounds (as Hg),7901.299999999999
2025/03/10,United Kingdom,2013,Methane (CH4),393053000
2025/03/10,Belgium,2018,Chromium and compounds (as Cr),1007
2025/03/10,Greece,2017,Nitrogen oxides (NOX),84090000
2025/03/10,Netherlands,2011,Zinc and compounds (as Zn),45585
2025/03/10,Serbia,2016,Nitrogen oxides (NOX),49789000
2025/03/10,Germany,2014,"1,2-dichloroethane (DCE-1,2)",589990
2025/03/10,Germany,2009,Benzene,224320
2025/03/10,Portugal,2008,Carbon monoxide (CO),37762000
2025/03/10,Poland,2014,Carbon monoxide (CO),292242000
2025/03/10,Slovakia,2012,Non-methane volatile organic compounds (NMVOC),3499000
2025/03/10,Slovakia,2012,Arsenic and compounds (as As),240.7
2025/03/10,Germany,2014,Polychlorinated biphenyls (PCBs),2.927
2025/03/10,Italy,2007,Zinc and compounds (as Zn),128571
2025/03/10,Spain,2010,Arsenic and compounds (as As),4769.9
2025/03/10,Czechia,2018,Benzene,11231.675
2025/03/10,Poland,2021,Sulphur oxides (SOX),147361000
2025/03/10,Belgium,2008,Nickel and compounds (as Ni),13714.8
2025/03/10,Norway,2008,Carbon dioxide (CO2),24710000000
2025/03/10,France,2020,Hydrochlorofluorocarbons (HCFCs),40484.959998
2025/03/10,Poland,2016,Benzene,21910
2025/03/10,Spain,2023,Mercury and compounds (as Hg),927.6
2025/03/10,Netherlands,2021,Lead and compounds (as Pb),1614
2025/03/10,France,2023,Ammonia (NH3),15310600
2025/03/10,Slovakia,2021,Naphthalene,17200
2025/03/10,Denmark,2010,Fluorine and inorganic compounds (as HF),114860
2025/03/10,France,2020,Vinyl chloride,145990
2025/03/10,Spain,2023,Nickel and compounds (as Ni),20647.9
2025/03/10,Germany,2008,Polychlorinated biphenyls (PCBs),5.035
2025/03/10,Czechia,2007,Carbon monoxide (CO),166616000
2025/03/10,Slovakia,2016,Naphthalene,16600
2025/03/10,France,2023,Particulate matter (PM10),2829700
2025/03/10,Germany,2018,Naphthalene,5654
2025/03/10,Poland,2011,Ammonia (NH3),7162500
2025/03/10,Slovenia,2014,Ammonia (NH3),454500
2025/03/10,Norway,2010,Ammonia (NH3),556100
2025/03/10,Hungary,2008,Carbon dioxide (CO2),26278000000
2025/03/10,Denmark,2016,Nitrous oxide (N2O),134800
2025/03/10,Portugal,2007,Nitrogen oxides (NOX),89011000
2025/03/10,Italy,2019,Chlorofluorocarbons (CFCs),319.993
2025/03/10,Norway,2009,Particulate matter (PM10),3354800
2025/03/10,Belgium,2012,Hydro-fluorocarbons (HFCS),199863
2025/03/10,Finland,2015,Sulphur oxides (SOX),28356000
2025/03/10,Norway,2011,Copper and compounds (as Cu),3436
2025/03/10,Denmark,2011,Fluorine and inorganic compounds (as HF),161660
2025/03/10,Finland,2020,Non-methane volatile organic compounds (NMVOC),5033000
2025/03/10,Poland,2007,Methane (CH4),508927000
2025/03/10,France,2019,Zinc and compounds (as Zn),52980
2025/03/10,Italy,2020,Non-methane volatile organic compounds (NMVOC),22089676.5
2025/03/10,Denmark,2011,Ammonia (NH3),2089600
2025/03/10,Spain,2019,Lead and compounds (as Pb),8346
2025/03/10,Belgium,2013,Dichloromethane (DCM),43620
2025/03/10,Italy,2020,Cadmium and compounds (as Cd),345.6864
2025/03/10,Hungary,2010,Ammonia (NH3),11110600
2025/03/10,Spain,2021,Methane (CH4),145718000
2025/03/10,United Kingdom,2013,Anthracene,1369.2
2025/03/10,Finland,2009,Benzene,122830
2025/03/10,Portugal,2011,Methane (CH4),76403000
2025/03/10,Switzerland,2017,Halons,7
2025/03/10,Lithuania,2010,Ammonia (NH3),3217300
2025/03/10,Germany,2015,Perfluorocarbons (PFCs),12010
2025/03/10,Norway,2014,Carbon dioxide (CO2),24212000000
2025/03/10,Switzerland,2017,Nitrogen oxides (NOX),4090000
2025/03/10,Belgium,2022,Hydro-fluorocarbons (HFCS),13767
2025/03/10,Sweden,2019,Methane (CH4),13243000
2025/03/10,Denmark,2012,Nitrogen oxides (NOX),12476000
2025/03/10,United Kingdom,2017,Chromium and compounds (as Cr),4861
2025/03/10,Romania,2018,Particulate matter (PM10),2808700
2025/03/10,Austria,2016,Chlorine and inorganic compounds (as HCl),83200
2025/03/10,United Kingdom,2012,Anthracene,314
2025/03/10,Finland,2010,Particulate matter (PM10),1590600
2025/03/10,Estonia,2012,Carbon dioxide (CO2) excluding biomass,12227000000
2025/03/10,Slovenia,2020,Ammonia (NH3),553506
2025/03/10,Czechia,2010,Nickel and compounds (as Ni),7945.6
2025/03/10,Greece,2014,Sulphur oxides (SOX),73169000
2025/03/10,United Kingdom,2011,Tetrachloroethylene,12420
2025/03/10,France,2023,Tetrachloromethane (TCM),14184
2025/03/10,Belgium,2022,Dichloromethane (DCM),31240
2025/03/10,Czechia,2010,Mercury and compounds (as Hg),3125.7000000000003
2025/03/10,Norway,2010,Particulate matter (PM10),3710200
2025/03/10,Spain,2013,Chlorofluorocarbons (CFCs),65.77
2025/03/10,Germany,2016,Hydrogen cyanide (HCN),4306
2025/03/10,United Kingdom,2014,Trichloromethane,12980
2025/03/10,United Kingdom,2019,Fluorine and inorganic compounds (as HF),291980
2025/03/10,Belgium,2020,Arsenic and compounds (as As),289
2025/03/10,Greece,2014,Nitrous oxide (N2O),550200
2025/03/10,Romania,2011,Lead and compounds (as Pb),879
2025/03/10,Spain,2017,"1,2-dichloroethane (DCE-1,2)",15640
2025/03/10,Spain,2012,Pentachlorophenol (PCP),28.6
2025/03/10,Germany,2017,Sulphur hexafluoride (SF6),60
2025/03/10,Netherlands,2010,Perfluorocarbons (PFCs),4866
2025/03/10,Portugal,2012,Zinc and compounds (as Zn),13139
2025/03/10,Austria,2015,Benzene,3820
2025/03/10,Czechia,2009,Mercury and compounds (as Hg),2695.1000000000004
2025/03/10,Switzerland,2007,Tetrachloroethylene,14200
2025/03/10,Switzerland,2018,Sulphur oxides (SOX),1861920
2025/03/10,Spain,2012,Chlorofluorocarbons (CFCs),4.94
2025/03/10,Iceland,2017,Ammonia (NH3),234300
2025/03/10,Bulgaria,2011,Particulate matter (PM10),8830100
2025/03/10,Ireland,2016,Particulate matter (PM10),317000
2025/03/10,Austria,2013,Sulphur oxides (SOX),7169000
2025/03/10,Hungary,2016,Carbon dioxide (CO2),18700000000
2025/03/10,Greece,2010,Chlorine and inorganic compounds (as HCl),78300
2025/03/10,Netherlands,2015,Nickel and compounds (as Ni),1022.5
2025/03/10,Iceland,2017,Fluorine and inorganic compounds (as HF),291900
2025/03/10,Ireland,2016,Ammonia (NH3),1899600
2025/03/10,Germany,2008,"1,2-dichloroethane (DCE-1,2)",94620
2025/03/10,Latvia,2015,Nitrogen oxides (NOX),3156000
2025/03/10,Sweden,2020,Fluorine and inorganic compounds (as HF),74800
2025/03/10,Slovakia,2020,Mercury and compounds (as Hg),10.5
2025/03/10,Greece,2013,Non-methane volatile organic compounds (NMVOC),5241000
2025/03/10,Belgium,2019,Naphthalene,2265
2025/03/10,Slovakia,2013,Non-methane volatile organic compounds (NMVOC),5061000
2025/03/10,Switzerland,2013,Lead and compounds (as Pb),2530
2025/03/10,Austria,2022,Sulphur oxides (SOX),6303000
2025/03/10,Croatia,2023,PCDD + PCDF (dioxins + furans) (as Teq),0.00064
2025/03/10,Slovenia,2022,Perfluorocarbons (PFCs),546
2025/03/10,Romania,2011,Non-methane volatile organic compounds (NMVOC),4618000
2025/03/10,Estonia,2007,Non-methane volatile organic compounds (NMVOC),1641000
2025/03/10,Luxembourg,2019,Nitrogen oxides (NOX),1914000
2025/03/10,Estonia,2007,Cadmium and compounds (as Cd),602
2025/03/10,Belgium,2017,Hexachlorobenzene (HCB),29
2025/03/10,Estonia,2022,Lead and compounds (as Pb),454
2025/03/10,Iceland,2019,Methane (CH4),2963000
2025/03/10,Greece,2008,Zinc and compounds (as Zn),39571
2025/03/10,Bulgaria,2009,Benzene,7830
2025/03/10,Estonia,2008,Zinc and compounds (as Zn),41755
2025/03/10,Estonia,2021,Fine particulate matter (PM2.5),143200
2025/03/10,Malta,2022,Carbon dioxide (CO2),592000000
2025/03/10,Slovenia,2019,Hydro-fluorocarbons (HFCS),1096
2025/03/10,Slovakia,2019,Copper and compounds (as Cu),419
2025/03/10,Spain,2015,Trichloroethylene (TRI),5570
2025/03/10,Greece,2016,Ammonia (NH3),145800
2025/03/10,Denmark,2018,Fluorine and inorganic compounds (as HF),55499.265
2025/03/10,Greece,2016,Fluorine and inorganic compounds (as HF),302230
2025/03/10,Estonia,2009,Copper and compounds (as Cu),1611
2025/03/10,Iceland,2020,Particulate matter (PM10),466239
2025/03/10,Iceland,2011,Sulphur hexafluoride (SF6),62100
2025/03/10,Romania,2018,Cadmium and compounds (as Cd),81
2025/03/10,Slovenia,2013,Perfluorocarbons (PFCs),1470
2025/03/10,Czechia,2020,Perfluorocarbons (PFCs),3468.63
2025/03/10,Austria,2012,Zinc and compounds (as Zn),8960
2025/03/10,Greece,2020,Sulphur oxides (SOX),34757000
2025/03/10,Czechia,2014,Polycyclic aromatic hydrocarbons (PAHs),813.2
2025/03/10,Estonia,2013,Lead and compounds (as Pb),36554
2025/03/10,Cyprus,2007,Copper and compounds (as Cu),115
