Country_ID;Year;Adjusted savings: natural resources depletion (% of GNI);Adjusted savings: net forest depletion (% of GNI);Annual freshwater withdrawals, total (% of internal resources);CO2 emissions (metric tons per capita);Economic and Social Rights Performance Score;Electricity production from coal sources (% of total);Energy imports, net (% of energy use);Fossil fuel energy consumption (% of total);Heat Index 35;Heating Degree Days;Land Surface Temperature;Level of water stress: freshwater withdrawal as a proportion of available freshwater resources;Methane emissions (metric tons of CO2 equivalent per capita);Nitrous oxide emissions (metric tons of CO2 equivalent per capita);PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);Renewable energy consumption (% of total final energy consumption);Tree Cover Loss (hectares)
FI;2017;0.079543771;0;2.14953271;7.809318955;2.616989724;16.79499613;47.41131566;71.30324629;0;10152.89;2.18763715;5.454114299;0.890096948;1.052642183;5.257788389;44.48;336199
FI;2018;0.088418299;0;2.61682243;8.049188427;2.607692;16.79499613;47.41131566;71.30324629;0;9823.01;3.93827076;6.639791321;0.860471637;1.057314031;5.596788665;44.3;269955
FI;2019;0.042369316;0;2.803738318;7.423039601;2.438455588;16.79499613;47.41131566;71.30324629;0;10056.43;3.06282982;7.11406213;0.840308269;1.088270321;5.565330197;45.6;289910
FI;2020;0.024237901;0;2.803738318;6.570145128;2.438455588;16.79499613;47.41131566;71.30324629;0;9026.72;4.81366415;7.11406213;0.814953791;1.062848032;13.63815962;47.49;254473
FI;2021;0.083429055;0;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;2.6879101;16.89458258;0.863101563;0.488674145;13.63815962;19.59;266899
FR;2013;0.009279657;0;13.5785;5.127899428;2.482611692;4.290238174;46.35287502;48.54358131;0;5225.61;16.6250071;23.77396481;0.979254793;0.585542347;13.61154039;13.44;30352
FR;2014;0.007044814;0;13.6485;4.614807136;2.479653255;2.157028986;43.48527185;46.22592306;0;4264.67;17.624855;23.89652456;0.957519327;0.586549027;11.58971968;13.19;44359
FR;2015;0.003947747;0;14.058;4.675935087;2.49301018;2.160448913;44.11016597;46.48797087;0;4548.58;17.8757438;24.61349908;0.945348134;0.593740664;12.30792454;13.34;37293
FR;2016;0.003011993;0;13.218;4.703475673;2.498465614;16.79499613;47.41131566;71.30324629;0;4844.15;17.3742626;23.14278211;0.928963234;0.569757089;11.4918237;14.25;60768
FR;2017;0.004044336;0;13.473;4.747916929;2.500738777;16.79499613;47.41131566;71.30324629;0;4736.51;17.6254302;23.58924976;0.912838615;0.593179031;11.43000879;14.12;69249
FR;2018;0.006770528;0;13.46146216;4.570517428;2.500499847;16.79499613;47.41131566;71.30324629;0;4394.35;18.8742424;23.56904868;0.898596158;0.567164339;11.53704439;15.21;69201
FR;2019;0.005434532;0;13.13603983;4.460164948;2.438455588;16.79499613;47.41131566;71.30324629;0;4559.67;18.3745837;22.99928184;0.882302796;0.554629295;11.40575038;15.53;81304
FR;2020;0.025601071;0.0229569;13.13603983;3.953682452;2.438455588;16.79499613;47.41131566;71.30324629;0;4223.71;18.6245956;22.99928184;0.865036701;0.535772118;13.63815962;16.87;77746
FR;2021;0.030078256;0.024571421;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;16.6256127;16.89458258;0.863101563;0.488674145;13.63815962;19.59;112886
UK;2013;0.616771334;0;5.276551724;7.076100428;2.52360793;37.04979;42.32391729;83.5597408;0;6137.31;11.8128151;13.04518329;0.849204526;0.444416698;11.42279633;5.18;28596
UK;2014;0.49151554;0;5.024137931;6.433347;2.513266083;30.31169753;39.67463181;82.7165785;0;5367.51;12.5627459;12.42114237;0.804880442;0.453492288;10.88658588;6.53;30372
UK;2015;0.30295401;0;5.627586207;6.159376361;2.531061195;22.80649074;34.62999027;80.35177127;0;5805.13;12.0621656;13.91304348;0.790663983;0.448290077;10.37250919;7.71;23997
UK;2016;0.247595303;0;5.806206897;5.824502691;2.528501287;16.79499613;47.41131566;71.30324629;0;5781.34;12.0619738;14.35464621;0.808775266;0.440867189;10.21445169;7.68;28808
UK;2017;0.354471446;0;5.806206897;5.553291497;2.528206274;16.79499613;47.41131566;71.30324629;0;5567.18;11.9368119;14.35464621;0.799258792;0.441842378;10.35539774;8.81;23042
UK;2018;0.561548668;0;5.806206897;5.425128404;2.507283581;16.79499613;47.41131566;71.30324629;0;5672.55;13.3126673;14.35464621;0.785854518;0.435666588;10.17141578;10.09;26251
UK;2019;0.08452299;0;5.806206897;5.175842473;2.438455588;16.79499613;47.41131566;71.30324629;0;5681.43;11.9373395;14.35464621;0.770580823;0.43716974;10.09284402;11.39;28377
